Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status,Min_Max_Normalization,Mean_Normalization
B730AD52,HealthTech,2014,Canada,Montreal,Seed,1.64,17.81,1.46,0.33,3.8,23,0,23,Tier 3 (Angel/Seed),High,Independent,0.00020845540897298847,-0.0073710720327834255
65A5F690,Web3/Crypto,2014,China,Beijing,Pre-IPO,103.87,949.16,32.77,2.42,41.2,242,146,96,Tier 3 (Angel/Seed),,Closed,0.013202599591478242,0.005623072149721827
F106C853,Cybersecurity,2020,USA,San Francisco,Series A,10.08,43.37,2.16,1.01,9.1,59,0,59,Tier 2 (Mid-size VC),High,Independent,0.001281238123443734,-0.00629828931831268
2BD798AF,FinTech,2023,India,Delhi NCR,Series B,32.28,257.62,11.66,0.78,36.7,76,0,76,Tier 3 (Angel/Seed),Medium,Independent,0.0041030125619805295,-0.0034765148797758845
C5CB4451,Generative AI,2020,USA,New York,Series C+,13.41,76.73,2.57,1.12,11.0,59,28,31,Tier 2 (Mid-size VC),Medium,Closed,0.0017045042892242534,-0.005875023152532161
22994DE8,Generative AI,2014,China,Shanghai,Series A,287.28,2399.01,190.65,5.0,56.3,500,0,500,Tier 3 (Angel/Seed),Low,Independent,0.03651528651814642,0.028935759076390007
F998B9AE,Generative AI,2017,USA,New York,Series A,6.55,72.71,6.22,0.61,9.2,32,0,32,Corporate VC (e.g. Google Ventures),Medium,Independent,0.0008325505663250455,-0.006746976875431369
DFEF57C1,EdTech,2017,UK,Oxford,Seed,2.16,26.22,1.57,0.23,6.5,18,0,18,Tier 3 (Angel/Seed),Medium,Acquired,0.00027455102645222875,-0.007304976415304186
569C2230,FinTech,2018,USA,San Francisco,Series C+,33.93,246.46,17.12,0.97,31.7,95,0,95,Tier 2 (Mid-size VC),Medium,Independent,0.004312739040520427,-0.0032667884012359876
859D4768,ClimateTech,2013,USA,Miami,Series B,23.8,209.4,7.83,1.94,11.7,127,0,127,Tier 3 (Angel/Seed),Low,Independent,0.0030251455692421503,-0.0045543818725142645
1D7ABD11,Generative AI,2022,Singapore,Singapore,Seed,4.44,38.72,3.14,0.55,6.8,50,0,50,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0005643548877073591,-0.007015172554049056
B976C5FE,Web3/Crypto,2020,USA,Seattle,Series A,29.7,106.15,6.46,1.45,19.2,133,60,73,Corporate VC (e.g. Google Ventures),,Acquired,0.0037750766137181454,-0.003804450828038269
EC0C5B60,EdTech,2020,UK,Cambridge,Seed,0.39,16.47,1.28,0.73,0.5,49,12,37,Tier 2 (Mid-size VC),Medium,Independent,4.957171310943019e-05,-0.007529955728646984
CF9DDC66,Robotics,2014,UK,London,Seed,2.79,35.66,1.54,0.75,3.3,45,0,45,Tier 3 (Angel/Seed),Low,Independent,0.0003546284091674621,-0.007224899032588952
1D64EC27,Generative AI,2014,USA,San Francisco,Seed,0.79,26.44,3.9,0.57,1.2,34,0,34,Tier 2 (Mid-size VC),Medium,Acquired,0.00010041449578576885,-0.007479112945970646
D5E2214A,Generative AI,2020,India,Bengaluru,Series A,19.74,236.42,12.55,0.99,18.1,95,0,95,Tier 3 (Angel/Seed),Low,Independent,0.0025090913250773125,-0.005070436116679102
AFAF9053,SpaceTech,2022,USA,New York,Series A,5.02,32.86,1.54,0.4,10.0,23,0,23,Tier 3 (Angel/Seed),Medium,IPO,0.0006380769225880501,-0.006941450519168365
